bag,mode,first_fbcca_command,first_fbcca_t_s,expected_fbcca_t_s,valid_expected_t_s,cmd_vel_t_s,correct_fbcca_to_valid_s,valid_to_cmd_vel_s,correct_fbcca_to_cmd_vel_s,first_eeg_to_cmd_vel_s,normal,exclusion_reason
backward_06,all,forward,4.211599808,8.207734718,8.60719625,8.637266337,0.3994615320000001,0.030070087000000356,0.4295316190000005,8.637266337,no,first FBCCA was forward
backward_07,all,backward,4.430882736,4.430882736,4.826612631,4.834596336,0.39572989499999967,0.007983705000000008,0.4037135999999997,4.834596336,yes,included
backward_08,all,backward,4.075968979,4.075968979,5.669427624,5.759429958,1.5934586450000001,0.09000233400000024,1.6834609790000004,5.759429958,no,confirmation took 1.593s
backward_09,all,forward,4.116310917,4.515011451,4.916756213,5.011336317,0.40174476199999987,0.09458010399999939,0.49632486599999925,5.011336317,no,first FBCCA was forward
backward_10,all,backward,4.483014486,4.483014486,4.882749415,4.953106303,0.39973492900000007,0.07035688800000006,0.47009181700000013,4.953106303,yes,included
backward_01,single,right,4.139570499,4.93457518,7.735961315,7.743379066,2.8013861349999996,0.0074177510000001945,2.8088038859999997,7.743379066,no,first FBCCA was right
backward_02,single,backward,3.978256948,3.978256948,4.384230434,4.412411652,0.40597348600000016,0.028181218000000285,0.43415470400000045,4.412411652,yes,included
backward_03,single,backward,4.248472751,4.248472751,4.658459896,4.681215956,0.40998714499999966,0.022756059999999856,0.4327432049999995,4.681215956,yes,included
backward_04,single,idle,4.361403256,4.76170531,7.15718043,7.191069466,2.3954751200000004,0.033889035999999706,2.429364156,7.191069466,no,first FBCCA was idle
backward_05,single,forward,4.491235699,4.890942776,5.283021167,5.37253689,0.3920783910000001,0.08951572299999988,0.48159411399999996,5.37253689,no,first FBCCA was forward
