bag,mode,first_fbcca_command,first_fbcca_t_s,expected_fbcca_t_s,valid_expected_t_s,cmd_vel_t_s,correct_fbcca_to_valid_s,valid_to_cmd_vel_s,correct_fbcca_to_cmd_vel_s,first_eeg_to_cmd_vel_s,normal,exclusion_reason
forward_06,all,forward,4.386343652,4.386343652,5.986274641,6.036608492,1.5999309889999997,0.05033385100000043,1.6502648400000002,6.036608492,no,confirmation took 1.600s
forward_07,all,forward,4.353361173,4.353361173,4.75558867,4.838752372,0.40222749700000016,0.08316370200000023,0.4853911990000004,4.838752372,yes,included
forward_08,all,forward,4.474893651,4.474893651,4.875614185,4.96970205,0.4007205339999995,0.09408786500000055,0.49480839900000007,4.96970205,yes,included
forward_09,all,forward,4.295066085,4.295066085,4.700227755,4.768176072,0.40516167000000003,0.06794831699999992,0.47310998699999995,4.768176072,yes,included
forward_10,all,forward,4.120991057,4.120991057,4.518606937,4.579409158,0.39761588000000003,0.060802220999999435,0.45841810099999947,4.579409158,yes,included
forward_01,single,right,4.483044709,4.868100629,8.059475655,8.104758565,3.1913750260000002,0.04528290999999918,3.2366579359999994,8.104758565,no,first FBCCA was right
forward_02,single,forward,4.140856594,4.140856594,4.537525389,4.560086121,0.3966687950000001,0.022560732000000527,0.4192295270000006,4.560086121,yes,included
forward_03,single,forward,4.378866807,4.378866807,5.977038645,6.036506955,1.5981718380000007,0.05946830999999975,1.6576401480000005,6.036506955,no,confirmation took 1.598s
forward_04,single,forward,4.264369862,4.264369862,4.656074362,4.671864071,0.39170450000000034,0.015789708999999874,0.4074942090000002,4.671864071,yes,included
forward_05,single,left,4.051458154,4.884963357,7.6521828,7.695935332,2.767219443,0.043752532000000066,2.810971975,7.695935332,no,first FBCCA was left
