bag,transition,synthetic_t_s,raw_candidate_t_s,raw_delay_s,valid_t_s,valid_delay_s,cmd_vel_t_s,cmd_vel_delay_s
switch_01,forward->backward,13.0,18.829219711,3.917398067,21.61905629,6.707234646,21.639541322,6.727719678
switch_01,backward->left,24.022817,28.020405089,2.086014432,28.418272942,2.483882285,28.439520557,2.5051299
switch_01,left->right,38.500027,42.81842388,2.406753326,43.218634719,2.806964165,43.239371956,2.827701402
switch_01,right->stop,52.976898,57.619729683,2.731170625,58.020464263,3.131905205,58.039405814,3.150846756
switch_02,forward->backward,13.0,17.224161553,1.93315909,21.620809628,6.329807165,21.695186495,6.404184032
switch_02,backward->left,27.462573,32.820231973,3.067111276,33.222315023,3.469194326,33.294936692,3.541815995
switch_02,left->right,41.727009,46.420400428,2.402719986,46.81938278,2.801702338,46.895009082,2.87732864
switch_02,right->stop,56.193134,59.620877975,1.137149459,60.4184873,1.934758784,60.495218558,2.011490042
switch_03,forward->backward,13.0,18.420956026,3.215454968,18.826407146,3.620906088,18.913436548,3.70793549
switch_03,backward->left,27.466751,31.221212784,1.549033993,32.020797764,2.348618973,32.113489425,2.441310634
switch_03,left->right,41.749799,46.424079398,2.468968782,46.827701102,2.872590486,46.913419466,2.95830885
switch_03,right->stop,56.048764,59.623050858,1.368983814,60.019285987,1.765218943,60.11363285,1.859565806
switch_04,forward->backward,13.0,16.818789892,1.907815214,17.221740143,2.310765465,17.294427037,2.383452359
switch_04,backward->left,25.018775,27.22233851,0.292796393,28.824223507,1.89468139,28.894571414,1.965029297
switch_04,left->right,39.490147,43.626336866,2.225327656,44.423774185,3.022764975,44.494316883,3.093307673
switch_04,right->stop,53.946382,67.217500466,11.360256952,67.618622758,11.761379244,67.694592146,11.837348632
switch_05,forward->backward,13.0,19.221919495,4.332406275,19.621097214,4.731583994,19.625106501,4.735593281
switch_05,backward->left,26.87817,31.619302415,2.851760843,32.019961282,3.25241971,32.025063809,3.257522237
switch_05,left->right,41.355379,45.62368748,2.378831838,46.017797966,2.772942324,46.025223586,2.780367944
switch_05,right->stop,55.832251,60.419063535,2.697409672,60.818624742,3.096970879,60.825093792,3.103439929
switch_06,forward->backward,13.0,18.020101884,2.773266862,18.429643234,3.182808212,18.450788408,3.203953386
switch_06,backward->left,23.383778,26.819499322,1.188937123,29.224192213,3.593630014,29.250957031,3.620394832
switch_06,left->right,37.648214,42.019806873,2.124882618,42.421785118,2.526860863,42.451005096,2.556080841
switch_06,right->stop,52.114339,55.619222469,1.258190499,56.019657381,1.658625411,56.05085728,1.68982531
switch_07,forward->backward,13.0,17.226124926,2.714077665,17.621312738,3.109265477,17.644799917,3.132752656
switch_07,backward->left,27.449855,31.219017394,2.257430289,31.625016641,2.663429536,31.644906658,2.683319553
switch_07,left->right,41.732903,45.617624034,2.372924279,46.01954211,2.774842355,46.044830316,2.800130561
switch_07,right->stop,56.031869,58.822818411,1.279248586,59.218297735,1.67472791,59.245213456,1.701643631
switch_08,forward->backward,13.0,18.421541818,3.537573266,18.818203249,3.934234697,18.897588578,4.013620026
switch_08,backward->left,26.229499,30.022970273,1.909914845,30.421324233,2.308268805,30.497265778,2.38421035
switch_08,left->right,40.70087,44.824708076,2.240325582,45.624565966,3.040183472,45.697962509,3.113580015
switch_08,right->stop,55.157105,68.422820202,11.382173561,68.821334894,11.780688253,68.897215018,11.856568377
switch_09,forward->backward,13.0,18.020965221,2.44470128,19.218803164,3.642539223,19.222209496,3.645945555
switch_09,backward->left,26.849228,31.221496322,1.796200399,31.623658237,2.198362314,31.722298825,2.297002902
switch_09,left->right,41.326438,46.421386664,2.518587365,46.818439372,2.915640073,46.82225328,2.919453981
switch_09,right->stop,55.80331,61.222296756,2.842971363,61.623825459,3.244500066,61.722468768,3.343143375
switch_10,forward->backward,13.0,20.424909568,5.566412601,23.221591135,8.363094168,23.237910444,8.379413477
switch_10,backward->left,27.467609,32.818573058,3.49268528,33.218127922,3.892240144,33.237955545,3.912067767
switch_10,left->right,41.732045,46.019143263,2.428941951,46.418298836,2.828097524,46.43820387,2.848002558
switch_10,right->stop,56.19817,59.220623701,1.164261904,60.018107249,1.961745452,60.03793293,1.981571133
